そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
まだ脱毛症は出ていないが、そろそろだろうか。	未だ、脱毛はしていませんがそろそろかな。
食欲不振になり、一日の半分は寝て過ごしていた。	食欲が全くなくなり、一日の半分は寝て暮らしてた。
TS-1の時は飲む時から悪心があった。	TS―１の時は飲む時からムカムカ感じる嫌な気分だった。
下痢や口角炎、粘膜障害、嘔気が続き、味覚障害がひどかったが、ゼローダの副作用は指の色素沈着と軽い手足症候群のみで本当に楽だ。	下痢下痢や口角炎、かなりの粘膜がやられ吐き気がずっと続き味覚障害がひどかったけどゼローダちゃんは軽く指のシミと軽い手足症候群のみで本当に楽。
ただし、オキサリプラチン点滴の数日後は少し下痢傾向になり、食欲不振で薬すら拒否してしまうので便秘になる。	ただオキサリ点滴の数日後はちょっと下痢傾向になり食欲不振で薬すら拒否してしまうから便秘になる。
前回一瞬だけ出た足のしびれ感もなく、快適に治療を受けることができた。	前回一瞬だけ出た足のシビレもなく快適に受けられました。
倦怠感がある。	身体は鉛のように重いです。
食欲不振でないのはありがたい。	食欲があるのはありがたいです。
今朝は食欲不振で、持参したパンを一口食べ、制吐剤のカプセルと錠剤を服用した。	今朝は食欲全くなしで持参したパン一口食べて吐き気止めカプセルと錠剤服用。
浮腫があると伝えたが、体重増加も確かにある。	浮腫みで重いと伝えて体重も確かに増えてる。
今後の浮腫を軽減するためでもあるそうだ。	今後の浮腫を軽くする為でもあるそうです。
悪心はほとんど無いが、最初の数日は味覚障害が出て、その後、免疫能低下があったのか（甥のラグビー応援ではしゃぎすぎたせいか）、体調不良に陥り、食欲不振であった。	ほとんど気持ち悪くならないけど最初数日は味覚がおかしくなりその後、免疫下がってか（甥っこのラグビー応援ではしゃぎすぎたせいか）絶不調に陥って食欲も量も落ちて...。
咽頭痛と鼻汁があるが、おそらく副作用だろう。	ちょっと喉が痛くてちょっとお鼻ズルズルするけどきっと副作用。
あとは、嘔気が強いので副作用を抑える薬を強くしてジプレキサをもらい、また、不眠があるので睡眠薬グットミンを飲むことにした。	あとは、吐き気がキツイから副作用を抑える薬を強くしてジプレキサをもらって、あと夜眠れないみたいで睡眠薬グットミンを飲む事にしました。
翌々日から倦怠感が出てきて、歩くと悪心もあり、下腹部痛もあった。	その次からダルさが出てきて歩くと気持ち悪さもあって下っ腹か子宮かわからないところが鈍痛でした。
1週間経過後、体は楽になったが、今度は味覚障害が出た。	１週間を過ぎると体は楽になりましたけど今度は味覚障害でした。
2週間経過後、脱毛症が始まった。	２週間過ぎると脱毛が始まり丸坊主に。
また、精神的にショックだったのは脱毛症である。	後、精神的にショックは脱毛。
なんとなく下腹部痛がある。	何となく下っ腹か子宮あたりがかすかな鈍痛があります。
朝、頭痛がひどく、ロキソプロフェンを服用した。	朝、頭痛がひどくロキソプロフェン服用。
味覚障害は95パーセント回復した感じだ。	味覚はもう95%戻った感じ。
関節痛と筋肉痛はなくなった。	関節痛・筋肉痛は抜けた。
耳鳴は相変わらずひどく、昨日入れたホワイトノイズのアプリを試してみたりした。	耳鳴りは相変わらずひどくて昨日入れたホワイトノイズのアプリを試してみたり。
下痢がある。	お腹の調子がイマイチ。
2日目夕方、倦怠感があったが、寝たら治った。	2日目の夕方に倦怠感があったけど寝たら治ったし。
今日は軽い頭痛と腰痛があるが、気分は良い。	今日は軽い頭痛と腰痛があるけど気分は良い。
ただし、昨日からふくらはぎに浮腫が出て、足のしびれ感もあって、痛い。	ただ昨日からふくらはぎの浮腫があって足はあいかわらず痺れてるし痛い。
顔面浮腫がある。	顔も浮腫んでるかなぁ。
この薬が下痢によく効く。	これが良く効く。
腹痛も排尿障害もない。	腹痛もなくて排尿もしっかり出る。
オキサリプラチン点滴中は下痢傾向だが、今週は朝夕、酸化マグネシウム1錠を服用して1日おきに便意があり、普通便が出ている。	オキサリプラチン点滴中は下痢傾向だが今週は朝夕の酸化マグネシウム１錠を服用して１日おきに便意があり普通便のお出まし。
朝、起床時に悪心があった。	朝、起きぬけに気持ち悪い〜。
空腹時に悪心が出る気がするので、負担なく食べられるものなら何でも良いのかもしれないが、しばらくこれを続けている。	空腹時に気持ち悪くなる気がするので、負担なくお腹に入れられるものなら何でも良いのかもしれませんが、しばらくこれ続けてます。
強いて言えば、末梢性ニューロパチーがあるぐらいだろうか。	強いて言えば、冷たいもの触ったり冷たい食べ物とか水を口に含むと、ビリビリ痛いとまではいかないけど冷たいな〜と感じやすいくらいでしょうか。
それに、悪心がある。	あと、気持ち悪くはないけどなんとなくムカムカする。
意識混濁の症状は出なかった。	ボーっと立ち尽くす変な人になる症状はありませんでしたよ。
11時頃、悪心が出てきた。	１１時頃に悪心がきて。
下痢が続いた。	下痢の日々を体験。
ようやく倦怠感がなくなってきた。	やっと倦怠感が抜けてきました。
オキサリプラチン初回の副作用は、投与初日〜3日目はしびれ感、4日目〜8日目は倦怠感と、便秘から下痢になる、という感じだった。	初めてのオキサリプラチン副作用は投与初日〜3日目ビリビリ痛4日目〜8日目倦怠感便秘➡︎下痢になるて、感じでした。
後半は、軽い味覚障害、爪の障害、下痢、流涙があった。	後半は、軽い味覚障害、爪割れ、下痢、涙目がきてました。
また、一日中倦怠感があった。	あと、一日中動きたくない、寝てたい気分でした･･。
現在は軽い悪心がある。	ただ今、少しのムカムカがあるくらいです。
不眠症ではなかった。	何と一度も起きず爆睡。
今朝はまだ元気だが、ピリピリ感と嚥下障害が出ている。	今朝はまだまだ元気だけど手のピリピリ感と嚥下時の喉の違和感、何か詰まった感じはある。
味覚障害がある。	飲み物の味がちょっと変かな。
腹部膨満感はないが、腸の動きが弱っている気がするので、今日からは1日3回酸化マグネシウムを服用することにした。	腹部膨満感は無いけど腸の動きが弱っている気がするので今日からは１日３回酸化マグネシウムを服用してみよう。
現在、四肢のしびれ感がある。	今の所、点滴した腕が激しくビリビリ痺れていて、その他の腕＆足もビリビリ。
口内炎と味覚障害は少し落ち着いてきた。	副作用といえば、口内炎と味覚障害は少し落ち着いて来た感じ。
疼痛もほとんどない。	身体の痛さもほとんどない。
倦怠感もほとんどない。	怠さもほとんどない。
加えて、手足にそう痒感がある。	それから、手足が異常に痒い。
エルプラットの副作用で末梢性ニューロパチーが出ている。	エルプラットのせいで、冷えに敏感になり、コップやドアノブ、蛇口の水もビリビリ。
頑張って受けたイリノテカンは、脱毛症が出ただけで、効かなかったようだ。	頑張って受けたイリノテカンは、スキンヘッドにしただけで、効かなかったみたい。
1月13日のオキサリプラチン治療後、2kgの体重減少があったが、今日測ったら元の46kgに戻っていた。	１/１３にオキサリプラチンをした後２kg減りましたが、今日測ったらまた元の４６kgに戻っていました。
イメンド内服で嘔気を抑え、50パーセントオフでしびれ感を回避しながらである。	イメンド飲んで吐き気を抑え、50%offで痺れを回避しながらですよ。
前回のオキシコドン増量により眠気が強まったため医師に相談したら、今よりもう少し強いカフェインを処方された。	前回、オキシコドンを増やしたことで眠気がハンパなくなったので相談したら、今よりもう少し強いカフェインを処方されました。
こちらは嘔気が少し強い。	こちらは吐き気がちょっと強いかな。
また、骨髄抑制は相変わらずで、特に今回は血小板減少が著しいようだ。	あと骨髄抑制は相変わらずで特に今回は血小板減少が著しいようです。
指先に色素沈着が出てきた。	私は指先が黒っぽくなってきているように思います。
最近手足症候群が出てきたが、オキサリプラチンとは異なる痺れ方である。	最近手足の指先が痺れてきたけど、オキサリとは違う痺れ方。
皮膚障害が出てきた。	皮膚が薄くなってきた。
昨夜9時頃、主治医が来て、嘔気も辛いからオキシコンチンを減量して様子を見ようと言った。	オキシコンチンが減ったかと言うと主治医が昨夜9時頃にきて吐き気も辛いからオキシコンチンを減らして様子見ましょうと言われました。
オキシコンチンを増量すると、便秘が辛く、嘔気と眠気で食事が取れない。	オキシコンチンが増えると便秘も辛いし吐き気眠気で食事が取れないですよね。
モルヒネ系薬剤の副作用による便秘は、容易には治らない。	モルヒネ系の便秘はちょっとそっとで治りません。
副作用の脱毛症はイリノテカンをやめて以来おさまってきている。	副作用の脱毛はイリノテカンをやめてからおさまってきてます。
シスプラチン投与後10日以上経過したが、今回はいまだに、空腹時も食後も悪心があり、特に午前中は何もできないほどだ。	シスプラチン投与から約10日あまり、いまだ今回は食べなきゃムカムカ、食べたらムカムカ特に午前中は使い物にならないほどだ。
抗がん剤を打っているときに高血圧になったので、今後は自宅で1日1回は血圧測定をするようにと指示された。	抗がん剤打ってる途中血圧がどんどん上がってたのでこれから家で1日1回はちゃんと血圧測って下さいって言われてしまった。
咽頭違和感があり、食べ物が飲み込みにくい。	口の中も色々おかしくて・喉がイガイガする・食べ物が飲み込みにくい。
肩から腕と、足にも疼痛がある。	肩から腕...足も...・痛い・重い。
腹膜播種による症状が出ているのに大丈夫だろうか。	気持ち的には播種による症状が出ているのに大丈夫なのかしら。
下腹部痛が軽くなった。	腎臓の痛みが軽くなった。
ツムラ白虎加人参湯を少し飲んだらピリピリ感は軽減された。	ツムラ白虎加人参湯少し飲んだらピリピリはかなり少なくなりました。
買い物に行き、少し長めに歩いたら、息切れがして、ほてりが出て、頭から汗が出てきた。	買い物行ったら少し長めに歩いただけで息が上がるしホトフラで頭から滝汗。
スキップ中にイリノテカンの副作用の口内炎が改善した。	そう言えばスキップ中にイリノテカンの副作用の口内の腫れが引いて。
帰宅後小腸に作用する下剤のアミティーザ(ルビプロストン)を服用し、就寝前に3回の排便があり、ひとまず整腸できた。	帰宅後に小腸の効果を生じる下剤のアミティーザ(ルビプロストン)を服用したので、就寝前に3回の排便があって一先ず整腸できた。
今日も、デカドロン内服による高血糖があり、朝からインシュリンを自己注射している。	今日も、デカドロン内服による血糖値の上昇により、朝からインシュリン自己注射です。
以前はエルプラットによる治療を行っていたが、私の悪性腫瘍には奏功しなかったようだ。	以前は、エルプラットを行っていましたが、私には、効果がなかったようでした。
10時に点滴を開始し、制吐剤も点滴したが、2時間後には悪心が出て、制吐剤のノバミンを内服した。	１０時に点滴を始め、吐き気止めの点滴もしているのに、２時間後には、ムカムカしてきて、吐き気止めのノバミンも飲みました。
この点滴をすると、汗はかくし、鼻汁は出るし、下痢はするし、悪心は出るしで、嫌だ。	この点滴をすると、汗はかくし、鼻水は出るし、お通じはユルユルになるし、胸はムカムカになるし、嫌だな～。
脱毛症が出始めた。	脱毛し始めた今の自分のあらゆるヘアーの状態を。
倦怠感も無く2日目も過ぎた。 	ダルさも無く二日目も過ぎた。
便秘気味ではある。	便秘気味だけど。
しいていえば、眠気があるので、倦怠感だろうか。	しいていえば、ひたすら眠い感じがするから倦怠感ってやつなのかな。
味覚障害も浮腫も関節痛も嘔気もない。	味覚障害も浮腫も関節痛も吐き気もなし。
薬の作用で「十中八九便秘になる」と言われたが、今のところ便秘はない。	おクスリのせいで「十中八九便秘になります」って言われたけど今のところは毎日出てます。
シスプラチン投薬後1週間が経過し、嘔気のピークがようやく過ぎたのだろうか。	シスプラチンの投薬から１週間がたち、吐き気のピークがようやく過ぎたのかな。
親指に色素沈着が出てきた。	親指が黒くなってきました。
夜、関節痛が出始める。	夜体の関節の痛みがで始まる。
足と腰に関節痛が出てきた。	足と腰のあらゆる関節が痛くなってくる。
疼痛が辛く、参っており、足を引きずりながら歩く感じである。	とりあえず、体が鈍くて太い痛みが襲い辛くて凹み足を引きずりながら歩く感じ。
抗がん剤の副作用かジーラスタの副作用かは不明だが、明らかにジーラスタ注射後から疼痛が出ている。	抗がん剤の副作用かジーラスタの副作用かは分からないけど、明らかにジーラスタを注射した後から体が痛くなってる。
倦怠感が強い。	とてもだるい感じ。
とにかく関節痛で辛くなってきた。	とにかく関節が痛くて足の裏まで辛くなってきました。
さらに、しびれ感が出てきた。	そして新たな痺れのような症状が。
二度の排便後に半夏瀉心湯を服用し、4回目で下痢を落ち着かせた。	2度の排便後に半夏瀉心湯を服用して、4回目で下痢を落ち着かせた。
初回と2回目は便秘があり3日間ほど排便がなかったが、今回は初日の夕食時からアミティーザを服用して排便を促したので不快感は生じなかった。	初回と2回目は便秘により3日ほど便が出なかったが、今回は初日の夕食からアミティーザを服用して排便を促したので不快感は生じなかった。
両足のしびれ感が強く、痛いほどである。	両足の痺れが強く、太ももから足先まで痛いほど(苦笑)。
さらに倦怠感がある。	さらに怠さも加わり、横になっていても起きていても、少しツラい(笑)。
昨日今日と、頭痛が続いている。	昨日も今日もずっと頭痛もします。
前回に比べ倦怠感が増した気がする。	言われてみると前回に比べて倦怠感は増している気がする。
それでも、その他の出やすい副作用、嘔気や嘔吐等は全く無い。	ま、それでもその他の出やすい副作用、吐き気とか嘔吐とかは全く無い。
便秘になかなか効果が出ない。	なかなか効果が出ません。
抗がん剤の副作用の倦怠感はかなり解消されているものの、一日中眠気がある。	抗がん剤の副作用のだるさはかなり解消されているものの、一日中眠たい感じがします。
1日など声が出なかったし、肘から下が痒く、湿疹ができた日もあった。	１日なんて、声が出なかったし肘から下が痒くて湿疹出来た日もあったな。
5日間ほど、過去に感じたことがないような関節痛があり、一番つらかった。	5日間ぐらいは感じた事ないぐらいの関節痛が一番、辛かったな。
舌のしびれ感、下半身の皮膚の違和感とピリピリ感が続いている。	舌の痺れ、下半身の皮膚の違和感とピリピリ感継続中。
結果、悪性腫瘍のマーカーCA19-9は、70台から30台に低下。	結果、CA19-9は70代が30代に低下。
指に感覚障害はあるが、これなら使える。	これだと、指の違和感はあるけど普通に使える。
こわばり感もあるが、許容範囲内である。	強ばりもあるけど許容範囲内。
軽い頭痛が出る。	強い頭痛はないが軽いのが出ます。
軽い食欲不振が続く。	食欲不振は軽いのが続いてます。
アバスチン、ザルトラップ、サイラムザの分子標的薬はどれも似たような副作用があると思うが、アバスチンが一番悪性腫瘍に効いたようだ。	アバスチン、ザルトラップ、サイラムザどの分子標的薬も似た様な副作用に思いますがアバスチンが一番効いたよう。
酸化マグネシウムを処方してもらい、術後6日目にようやく兎糞状の便が出た。	酸化マグネシウムを処方してもらい、術後6日目にして、ようやく、ウサギさんのようなう◯ちが出ました。
今のところ、嘔気とめまい感と鼻汁があるが、下痢は出ていない。	今のところ、吐き気と目眩と鼻水で、下痢の方は今のところありません。
鼻汁はTS-1だけのときと変わらない。	鼻水はTS-1だけのときと変わりません。
現在まで何も症状はないが、眠気がある。	今の所は何も症状はないですが、とにかく眠いです。
ひどかった下痢も治まってきたようだ。	ひどかった下痢も収まりがち。
嘔気が治まらないのが残念だ。	吐き気が治まらないのが残念だけどね。
アトピー性皮膚炎が出ている。	アトピーみたいになってきてるみたい。
発熱があったが、37度台に下がっていた。	熱は7度代下がってました。
抗がん剤だが、オキサリプラチン＋TS-1＋ニボルマブは中止、タキソールは悪性腫瘍に功奏せず。	抗ガン剤、オキサリプラチン+TS-1+ニボルマブ中止、タキソール功奏せずです。
ある程度体を動かした方が良いらしいので、脱毛症で部屋に落ちた髪を拾うことにして、結構いい運動ができた。	ある程度身体動かした方が良いらしいので、脱毛期だから、部屋に髪が落ちていたら拾う、というので結構いい運動が出来ました。
昨日よりはよくなったが、今日もまだ悪心が治まらない。	昨日よりはマシになったけど今日もまだ悪阻のような胃のムカムカが治まりません。
昨日から脱毛症が悪化している。	昨日から脱毛が激しくなりちょっと動くだけでハラハラ～と抜けていきます。
2週目に下痢、腹痛、口内炎が出てくる。	2週目に下痢、腹痛、口内炎が出てくる感じ。
皮膚炎は、薬を続けると徐々に出てきそうだ。	皮膚炎は薬を続けると、だんだん出てきそうな感じ。
たまに高血圧になり、頭痛がある。	血圧がたまに上がって頭痛がある。
鼻汁と喀痰異常は、私の鼻の問題が大きいと思う。	鼻水と痰は、私の鼻の問題が大きいと思います。
脱毛症がかなりの確率で出現するようだが、1か月以上経っても出る気配はない。	脱毛がかなりの確率で起こるみたいですが、1ヶ月以上経ってもその気配はありません。
落ち着いた頃、少し嘔気が出てきて、ノバミンを服用した。	落ち着いたころ、うっすらと吐き気ちゃんが到来し、ノバミンを投入。
息切れがしてきた。	何だか息も切れてきた。
自宅でじっとしているよりは、手足症候群も少し軽減されているのかもしれない。	家でじっとしているよりは、足の不快感も少しは軽減されているのかもしれないけど。
昨日血液検査の際、主治医が「炎症反応が出てたのは足だね」と言った。	昨日、血液検査で塩主治医が「炎症反応でてたの足だね」。
しゃっくりが出始めると、そろそろ苦しくなってくる合図である。	しゃっくりが出てくると、そろそろしんどくなってくるかなぁ～という合図。
まだ指先にしびれ感や疼痛は出ていない。	指先のしびれ痛みはまだ来ていない。
便が少し硬いので、酸化マグネシウムを処方してもらい、毎食後服用していたが、軟便になり、服用をやめたら、回数は減ったが、腹部不快感があった。	少し硬いので、酸化マグネシウム処方してもらい、毎食後飲んでましたがベタベタでダラダラになりやめたら、回数は減りましたがムズムズはありました。
今日はまだ疼痛はあるが、いつもより緩和されたのに。	今日はまだ痛いとこあるけど、いつもより楽になったのに。
便秘も下痢もないが、肛門痛がなかなか治らない。	便秘も下痢もないけど、なかなか肛門治らない。
寝つきの悪さを感じて久々にエチゾラム半錠を服用すると、睡眠障害は解消した。	私はというと寝つきの悪さを感じて久し振りにエチゾラム半錠飲んだら寝返りさえ記憶にないほど熟睡した。
最初の2週間は全く脱毛はなく、脱毛しないかもしれないと思っていたら、3週間目に入って脱毛症が出始めた。	最初の2週間は全く脱毛はなく、もしかしたら脱毛しないのかも♪って思っていたら、3週間目に入って脱毛が始まりました。
便秘、粘膜乾燥、味覚障害、手足の感覚鈍麻、発疹、色素沈着、嘔気、倦怠感があり、おそらく骨髄抑制により免疫不全症にもなっている。	便秘、粘膜の乾燥、味覚障害、手足の感覚の鈍り、発疹、色素沈着、吐き気、倦怠感、あとおそらく骨髄抑制で免疫力の低下も出ています。
便秘薬の酸化マグネシウムを多めに服用していたが、退院前日までの便秘が嘘のように解消された。	便秘薬の酸化マグネシウムを多めに飲んでいたのだが、退院前日までの苦労が嘘の様に改善された。
胃粘膜病変があり、胸やけが心配なため、「レパミピド」と腸内フローラ改善用に「乳酸菌」も併せて服用している。	胃粘膜が荒れて胸やけが心配だったので「レパミピド」と腸内フローラ改善用に「乳酸菌」も併せて服用している。
便秘による腹部膨満感が解消されたので酸化マグネシウムの服用を止めた。	パンパンに張っていたお腹がスッキリしてきたので酸化マグネシウムは服用を止めた。
口内炎予防に歯磨きとうがいをしているが、末梢性ニューロパチーが出ている。	口内炎予防に歯磨きとうがいをしているが水道水で口をすすぐと弱い冷感刺激が感じられる。
EC療法で脱毛は持ちこたえていたが、2コース目後半から脱毛症が悪化した。	EC療法で持ちこたえていたわずかな毛も２コース目後半から眉毛ほぼなくなりさすがに、描きづらくなってきた。
点滴終了直後でも食欲不振はない。	点滴終わっても直ぐに食べれるし。
最初のサイラムザ投与後3週間、ついに脱毛症が発現した。	最初のサイラムザ投与から3週間、いよいよ脱毛が始まりました。
随分前に一度坊主頭にしていたが、脱毛症で頭髪が抜け始めた。	随分前に一度坊主にしてたんですが、ポヤポヤと生えて来ていた髪がザクザク抜け始めました。
裂肛は0.5/10程度で、軽快しつつある。	切れ痔は0.5/10くらいで、良くなってきてる。
前回同様、やはりこの時点で2キロの体重減少がある。	前回と変わらずやっぱりこの時点で体重2キロ減。
前回と異なるのは、倦怠感とめまい感、末梢性ニューロパチーである。	前回と違うのは倦怠感とふらつき、手足の冷えが酷いこと。
今日はFECの時のような嘔気もなく足に筋肉痛があるぐらいでまずまず元気である。	今日はFECの時のような吐き気もなくちょっと足が筋肉痛みたいになっているぐらいでまずまず元気です。
嘔気はまだ残り、毎回発生する身体中の節々の痛みが出ている。	吐き気まだ残り、毎回発生する身体中の節々のリンパの痛みみたいな痛み。
昨日の外出時、薄い手袋着用で手にしびれ感が出たため、今日は早速手袋を買いに行った。	昨日、外に出たときに薄い手袋だと手にビリビリが走ったため、今日は早速手袋を買いに行きました。
しかし、よく分からないのが、術前化学療法で使用してきたシスプラチンも悪性腫瘍の抑制率で高い数値を示していたことである。	ただ、よく分からないのが、術前化学療法で使用してきたシスプラチンも癌抑制率で高い数値を示していた事です。
今日も1日自宅でのんびり過ごしたが、倦怠感もそれほどひどくなかった。	今日も1日お家でのんびりでしたが、倦怠感もそこまでなく。
脱毛症が少しずつ回復してきた。	髪の毛が少しずつ生えてきましたよ。
悪心のため夜中に目が覚める。	なんとなく気分が悪くて夜中に目が覚める。
動悸と嘔気があるが、それほどひどくない。	動悸と吐き気、でもそこまでひどくない。
パージェタの副作用と思われる下痢は治まり、今度は便秘気味である。	パージェタの副作用と思われる下痢は治まり今度は便秘気味。
下痢止めを処方してもらったのに使わずして便秘になった。	せっかく下痢止めを処方してもらったのに使わずして便秘。
疼痛もだいぶ緩和されている。	痛みも大分和らいでいます。
爪の周りに色素沈着がある。	爪のまわりが少し黒ずんでる。
指先のしびれ感もなかなか治らない。	指先の痺れもなかなか治らず。
悪性腫瘍は現状維持できていた。	現状維持できてました。
下痢があり、点滴棒を引きずりながらトイレダッシュしている。	お腹がグルグル鳴って点滴棒引きずりながらトイレダッシュしてます（笑）。
出ないよりは良いので、下痢は大歓迎である。	出ないよりは全然良いので、お腹グルグルppは大歓迎や。
脱毛症が改善してきた。	どんどん髪が生えてきております。
脱毛症でまつ毛は全部なくなった。	でも、まつ毛は全滅。
手足に関節痛が出ている。	手足が痛い。
手足の黒ずみもあるが、関節痛が強い。	手足の黒ずみはもちろんのこと関節が曲げられないほど痛いです。
病院を出たら、嘔気がなくなった。	病院を出たら、吐き気もスッキリなくなって。
このような腰痛にはなったことがない。	こんな腰痛なったことがない。
今日はイリノテカン投薬直後に熱感が出て、さらに悪心が出た。	今日はイリノテカン投薬直後に火照りがでて、さらに気持ちが悪くなりました。
熱感は以前からあったので、これほどよく効く薬があるなら早く出してほしかった。	火照りは以前からあったので正直言えば「こんなよー効く薬あるんやったら、はよ出しといてよ。
シスプラチンの副作用のしびれ感は強敵である。	シスプラチンの置き土産の手足の痺れは強敵です。
パクリタキセルとアバスチンを約1年間使ってきたため手足症候群の副作用があるが(最近また抗がん剤復活)、それでも家族のために頑張って家事をしている。	私はパクリタキセルとアバスチンを約1年間してきたせいでかなりの手足の痺れや痛さの副作用があるんだけど(最近また抗がん剤復活)それでも、家族の為に頑張って家事をしてる。
だが、手足症候群でかなり痛い。	でも、かなり痛いのよ。
手足症候群の痛みで夜も眠れない。	夜も疼いて寝れない感じだし。
便秘が以前より悪化した。	で、便秘がそれまで以上にヒドくなり(泣)。
緩下剤マグミット(酸化マグネシウム)とラキソベロン30滴でも、便秘が解消しないことがある。	緩下剤マグミット(酸化マグネシウム)にラキソベロンを30滴でも、出ない日は出ない。
ずっと寝たり起きたり、腹痛と下痢の繰り返しで、腹痛は薬を飲まないと治まらない。	ずーっと寝たり起きたり、腹痛、下痢の繰り返しで腸がお腹が痛くて、、、薬を飲まないと痛みが収まらず。
一度便意を催すと腹痛と下痢が止まらず、激しい腹痛との闘いである。	一度トイレに行きたくなると腹痛と下痢が止まらず、すべてだし切るまで激しい腹痛との闘いに、、、、。
元々手術で大腸を20cmほど切除したために腸の具合が悪く腹痛が治らないところに5-FUの副作用である激しい下痢が加わっている。	下痢、、、元々手術で大腸を20cmぐらい切除したために腸の具合が悪く腹痛が治らないところに5-FUの副作用である激しい下痢がプラスされてるんだから、、、。
脱毛症が出ている。	脱毛中でヘアスタイルはザビエルさん。
なぜ、パクリタキセルが悪性腫瘍に効かなかったことを病院は気がつかなかったのか。	なぜ、パクリタキセルが効かなかったことを病院は気がつかなかったのか。
パクリタキセルが悪性腫瘍に効かなかったことが再発へ影響していないだろうか。	パクリタキセルが効かなかった事の再発への影響。
だが、手足症候群の肌荒れ、悪心、口内炎は今回も出ている。	でも、手足症候群の肌荒れ、気持ち悪さ、口内炎は相変わらずしっかりと出ています。
また、初めて下痢をした。	それから、初めて“下痢”しました。
痛みは無いが、下痢でお腹が重くなる。	痛みは無いのですが、お腹が重くなります。
（幸いにも下痢をしたのは仕事が休みの日だった）	（幸いに下痢をしたのはシフトで、休みでした）
昨日はいつもより悪心がひどかった。	昨日はいつもより酷かったです。
下痢気味でつらかった。	お腹も下痢気味になって辛かったです。
帰宅後気分の悪さはなかったが、やはり夕食は悪心のためにほとんど食べられなかった。	帰ってからは気分の悪さはなかったけれど、晩御飯食べ始めたらやっぱり気持ちがスッキリせず、ほとんど食べられませんでした。
末梢性ニューロパチーの痛みと当分の間は付き合っていかねばならない。	冷感刺激という、聞き慣れない痛みと当分の間は付き合って行かねばならない。
オキサリプラチン点滴後数日間、末梢性ニューロパチーがある。	オキサリプラチン点滴から数日間は水道水の温度でも指先だけでなく指全体が痺れる様に痛む。
末梢性ニューロパチーがあるが、末梢血管の急激な収縮と膨張を感じた神経が電気信号を送ることがしびれ感の原因ではないかと推察している。	熱い風呂に入った直後も同様の痛みを感じるので抹消血管の急激な収縮(膨張)を感じた神経が電気信号を送る事が痺れの原因ではないかと推察している。
血管痛が出ている。	血管に沿って心臓の近くまでチクチクでなく差込みの様な鈍痛が出る。
エルプラットでアレルギー反応が出たため、ゼローダとイリノテカンの点滴で治療をしていくことになった。	エルプラットでアレルギーを起こした私はゼローダとイリノテカンの点滴で治療していくこととなりました。
脱毛症、色素沈着、3日間程度の悪心、認知障害ぐらいだろうか。	脱毛、色素沈着、３日ほどの悪心、ケモブレイン位でしょうか。
食欲減退もなく、体力も維持できていると感じる。	食欲もありますし、体力もおちてないと感じます。
血管痛は軽快するまであと少しという感じだ。	血管痛はあと少しって感じです。
オキサリプラチンを抜いて暫く経つが、まだしびれ感が少し残っている。	オキサリプラチンも抜いて暫く経ちますがまだ痺れが少し残っています。
途中でコンビニに寄り、温かい缶コーヒーを買ったが、倦怠感はさらに強まった。	途中でコンビニに寄って温かい缶コーヒーを買ったんですが、足元はさらにふらふらに、、、。
食べるとたまに腹痛が出るが、すぐ治る。	食べるとたまに腹痛、しかしすぐ治ります。
しかもしびれ感で動きたくないし、嘔気があるので運動などしたいとも思わない。	しかもビリビリで動きたくないし、吐き気あるから運動なんてしたいとも思いません。
四肢のしびれ感はまだ続いており、少し改善されたように感じても、動かしていないと浮腫で関節が曲がらなくなる。	手足の痺れは相変わらずで、少し改善された様に感じても、動かしていないと浮腫んで関節が曲がらなくなってしまう。
今のところ他の臓器に悪性腫瘍の転移はない。	他の臓器には今のところ転移なし。
最初の手術の傷が真横に約20センチあるが、その傷の少し上に悪性腫瘍ができている。	私の最初の手術の傷は、真横に20センチ位あるんですが、その傷の少し上にコリコリした小さいしこりができていまして。
だが、嘔気はないので食べられる。	でも、吐気ないので食べれます。
肛門痛がまだある。	肛門はまだ痛い。
それでも下痢も便秘もないので助かっている。	それでも下痢も便秘もないので助かってます。
パクリタキセルでは嘔気は出ていないが、抗がん剤は恐ろしい。	️パクリタキセル、、、吐気はないけど、おそるべし抗がん剤。
手足症候群でこれほど痛みが出るとは思わなかった。	こんなに手先が痛くなるとは思わなかった。
嘔気はなく、食べられるが、手先も含め疼痛がある。	吐気はないけど、食べられるけど、なんと言っても手先もだけど、身体が痛い。
身体に出た主な症状は、手足症候群、味覚障害、浮腫である。	身体に出ている症状も、手足の痺れ、味覚のおかしさ、浮腫みが主に出ていました。
3週間が経過し、しびれ感と味覚障害はだいぶ改善されたが、浮腫がひどい。	3週間が経ち、痺れと味覚はだいぶマシになってきましたが、浮腫みがひどい。
顔面浮腫のためか、二重だった目が一重になった。	二重だった目が、顔がパンパンなせいか、一重になってしまいました。
2月末にはCTに癌が写っていたが、すでに悪性腫瘍に効いてないキートルーダを今まで打っていたので、右肺以外にも転移があるのではないかと思っている。	2月末にはCTに癌が写ってたのにすでに効いてないキートルーダを今まで打ってたので右肺だけじゃなくてどこそこ転移してるんじゃないかな〜って思ってます。
2月末時点で5ミリ程度だった悪性腫瘍が、5月には1センチまで拡大しているのは、進行が早くないだろうか。	2月末の時の癌の大きさが5ミリぐらいで5月には1センチて進行早くない。
